group_id,point_index,uuid,end_pos_x,end_pos_y,end_pos_z,end_pose_x,end_pose_y,end_pose_z,joint_j1,joint_j2,joint_j3,joint_j4,joint_j5,joint_j6,base_pos_x,base_pos_y,base_pos_z,key
1,30,17605775545199770203,-1232.12,-339.23,4309.01,-180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1232.11,-2180,100
1,31,17605775545199770203,-1213.55,-339.23,4309.01,-180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1213.54,-2180,100
1,32,17605775545199770203,-1194.97,-339.23,4309.01,-180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1194.97,-2180,100
1,33,17605775545199770203,-1176.4,-339.23,4309.01,-180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1176.4,-2180,100
1,34,17605775545199770203,-1157.83,-339.23,4309.01,-180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1157.83,-2180,100
1,35,17605775545199770203,-1139.26,-339.23,4309.01,-180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1139.25,-2180,100
1,36,17605775545199770203,-1120.69,-339.23,4309.01,180.0,41.0,-90.0,-1.57,0.48,-0.41,-0.0,-1.71,-3.14,-1300.85,1120.68,-2180,60
1,37,17605775545199770203,-1140.69,-330.96,4140.71,180.0,41.0,-90.0,-1.57,0.47,-0.25,-0.0,-1.87,-3.14,-1309.13,1140.68,-2180,70
2,38,17605775545201110214,-1701.87,-410.46,3708.15,-178.59,44.99,1.0,-0.15,0.66,-0.25,0.02,-1.98,-2.98,136.4,3449.46,-2019.83,0
2,39,17605775545201110214,-1701.87,-400.16,3855.33,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,369.36,3469.64,-2087.84,10
2,40,17605775545201110214,-1672.82,-400.16,3855.33,-178.59,44.99,1.0,-0.01,0.69,-0.36,0.02,-1.9,-3.13,369.36,3469.64,-2087.84,11
2,41,17605775545201110214,-1641.87,-400.16,3855.33,-178.59,44.99,1.0,-0.01,0.75,-0.44,0.02,-1.88,-3.13,369.36,3469.64,-2087.84,12
2,42,17605775545201110214,-1701.87,-400.16,3855.33,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,369.36,3469.64,-2087.84,20
2,43,17605775545201110214,-1701.87,-400.67,3884.38,-178.59,44.99,1.0,-0.01,0.63,-0.3,0.02,-1.9,-3.13,369.36,3469.64,-2087.84,21
2,44,17605775545201110214,-1701.87,-401.21,3915.33,-178.59,44.99,1.0,-0.01,0.62,-0.32,0.02,-1.87,-3.13,369.36,3469.64,-2087.84,22
2,45,17605775545201110214,-1701.87,-400.16,3855.33,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,369.36,3469.64,-2087.84,10
2,46,17605775545201110214,-1681.87,-380.51,3875.68,-178.59,44.99,1.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,349.71,3449.64,-2108.18,40
2,47,17605775545201110214,-1681.87,-387.65,3875.56,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,356.86,3449.64,-2108.06,100
2,48,17605775545201110214,-1681.87,-394.8,3875.43,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,364.0,3449.64,-2107.93,100
2,49,17605775545201110214,-1681.87,-401.94,3875.31,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,371.14,3449.64,-2107.81,100
2,50,17605775545201110214,-1681.87,-409.08,3875.18,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,378.28,3449.64,-2107.68,100
2,51,17605775545201110214,-1681.87,-416.22,3875.06,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,385.42,3449.64,-2107.56,100
2,52,17605775545201110214,-1681.87,-423.36,3874.93,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,392.57,3449.64,-2107.43,100
2,53,17605775545201110214,-1681.87,-430.51,3874.81,1.41,135.01,-179.0,-0.01,0.64,-0.29,0.02,-1.92,-3.13,399.71,3449.64,-2107.31,100
